title,price
"For Honor - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 345,000"
"Far Cry 4 - Digital Standard Edition PlayStation®Hits (English, Korean)","Rp 279,000"
Friday the 13th the Game (English/Chinese Ver.),"Rp 69,000"
"Blasphemous (Simplified Chinese, English, Korean, Japanese)","Rp 107,100"
"Far Cry®3 Classic Edition - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 89,750"
"God of War (English, Korean, Traditional Chinese)","Rp 309,000"
"MONOPOLY® Madness (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 399,000"
"Yakuza: Like a Dragon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 271,660"
Life is Strange 2 Complete Season (English),"Rp 279,000"
Ryu Ga Gotoku 6 Inochino Uta (Chinese Ver.),"Rp 351,120"
"Riders Republic PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
Rayman® Legends - Digital Standard Edition PlayStation®Hits (English),"Rp 279,000"
Scott Pilgrim vs. The World™: The Game – Complete Edition (English),"Rp 49,170"
"The Dark Pictures Anthology: Man of Medan PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 299,000"
Ys VIII -Lacrimosa of DANA- Standard Edition (Chinese Ver.),"Rp 679,000"
FINAL FANTASY X/X-2 HD Remaster (Chinese/Korean Ver.),"Rp 339,000"
"Desperados III (Simplified Chinese, English, Korean)","Rp 579,000"
My Friend Pedro (English),"Rp 279,000"
Bloodborne™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 279,000"
Wreckfest (Game),"Rp 150,150"
The Pedestrian (English),"Rp 279,000"
INSIDE (English/Chinese/Korean Ver.),"Rp 199,000"
Ryu Ga Gotoku KIWAMI (Chinese Ver.),"Rp 114,400"
Ryu Ga Gotoku KIWAMI2 (Chinese Ver.),"Rp 307,560"
"The Medium (Simplified Chinese, English)","Rp 699,000"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Chinese Ver.),"Rp 299,000"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro (Chinese/Korean Ver.),"Rp 339,000"
DRAGON BALL XENOVERSE 2 (English),"Rp 279,000"
